SSC-A,F4/80:Fluorescein (FITC),CD11c-biot:Qdot 605,Gr-1:APC,IgD:APC-Cy5.5,CD11b:APC-Cy7,I-Ad:PE,CD5:PE-Cy5,CD19:PE-Cy5.5,IgM:PE-Cy7
0.49305218,0.16924608,0.18043265,0.23315623,0.5564347,0.34705022,0.45341888,0.24295476,0.6234038,0.62360096
0.7096958,0.7986106,0.46799675,0.26960298,0.4376721,0.8925415,0.48773238,0.4845532,0.46366832,0.6259
0.57724893,0.21266302,0.17220746,0.23894203,0.16086246,0.3294351,0.52942437,0.30925485,0.6748651,0.7195731
0.71698815,0.53400224,0.29178005,0.2710071,0.21777788,0.3623118,0.22231859,0.20709597,0.20935936,0.1456555
0.68178403,0.77273214,0.43673223,0.19321567,0.55327123,0.85618,0.4411682,0.48055193,0.28922272,0.47442672
0.71092266,0.80026466,0.51487696,0.15694974,0.5063716,0.82045245,0.48198792,0.51530707,0.30785313,0.48681095
0.70526946,0.8016493,0.49734983,0.261049,0.48865372,0.8867088,0.4507202,0.46890056,0.24092382,0.4744426
0.74505913,0.19763678,0.3091724,0.24699746,0.25788206,0.24663013,0.2013442,0.2737245,0.2312185,0.23609886
0.7006208,0.7824142,0.46993566,0.24144527,0.43691754,0.8960269,0.4782452,0.48218104,0.24878475,0.48036525
0.7308098,0.8552199,0.5487325,0.19020204,0.41361254,0.87440187,0.5254681,0.51705796,0.42835516,0.59638816
0.5987779,0.107366234,0.15534914,0.25641993,0.24262635,0.19846593,0.1765421,0.15895826,0.21265806,0.13385557
0.69606435,0.77405226,0.4232185,0.22031392,0.5083863,0.8657424,0.43818656,0.4581167,0.3099308,0.47053948
0.5682013,0.18338732,0.28538582,0.24261062,0.399372,0.22228555,0.521201,0.38105828,0.64270914,0.73519903
0.7127907,0.78966504,0.4351013,0.22016661,0.4776145,0.87378234,0.40504286,0.44353077,0.2391481,0.4663773
